securityname,first_in_portfolio,issuer_type,weight,price: 20221231,price: 20220930,price: 20220630,price: 20220331,price: 20211231,held_directly_or_through,held_by_that_many_active_funds,held_by_that_many_passive_funds,held_by_that_many_brands,issuer,issueAmount,total_usd_issuer_debt_amount,mean_issuer_issue_size,issuer_issue_count,marketvalue,holdingpercOfDeal,issue_date,RegistrationType,holdingType,debtType,debtRankType,primarySector,mortgageType,cmoClassType,cmoType,collateralType,crt,original_coupon_rate,effectiveduration,effectivematurity,maturitydate,modifiedduration,numberofshares,ratinganalytics_ratinglevel,yieldtomaturity,last_reported_factor,last_reported_factor_as_of_date,cmooriginaldealamount,state,country_of_risk,currency,em_dev,NAICSClassification,industry,muniSecurityType,muniUseOfProceeds,GreenBondIndicator,green_bond_third_party,convertible_indicator,conditional_conversion_indicator,conversion_feature_type,convertible_initiator,conversion_option_type,conversion_timing_type,convert_frequency_type,cusip,isin,apexid,bucket
Federal Home Loan Mortgage Corporation 6%,20180630,National Government Agency,0.00,103.61,103.8,107.25,108.84,112.18,held_directly,4,3,2,Federal Home Loan Mortgage Corporation,,,,, $283.80 ,,1999-01-01,,Bond - Gov't Agency Pass-Thru,,,Financial Services,,,,,NA,,1.88,2.25,2029-01-01,2.04, 278 ,AAA,4.2289,0.00,2023-02-01,,DC,US,USD,DEV,All Other Nondepository Credit Intermediation,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,31292GX76,US31292GX765,19937142,bucket_two_five
AT&T Inc 5.3%,20181231,Corporation,0.13,88.85,88.81,101.19,111.54,129.94,held_directly,10,,3,AT&T Inc,," $40,953,685,302 "," $694,130,259 ", $59 ," $1,243,910.21 ",,2018-11-30,SEC Registered,Bond - Corporate Bond,,,Communication Services,,,,,NA,,14.70,35.62,2058-08-15,14.87," 1,400,053 ",BBB,6.0552,,,,DE,US,USD,DEV,Wireless Telecommunications Carriers (except Satellite),Telecommunications,,,,,NA,NA,,,,,,00206RFS6,US00206RFS67,170240257,bucket_two_five
Massachusetts Mutual Life Insurance Co. 5.375%,20180630,Corporation,0.07,93.55,91.88,103.05,117.53,130.78,held_directly,5,2,3,Massachusetts Mutual Life Insurance Co.,," $700,000,000 "," $700,000,000 ", $1 ," $654,829.00 ",,2012-01-17,Exempt Issue,Bond - Corporate Bond,,,Financial Services,,,,,NA,,11.51,18.92,2041-12-01,11.49," 700,001 ",A,5.9954,,,,MA,US,USD,DEV,Direct Life Insurance Carriers,Insurance Carriers and Related Activities,,,,,NA,NA,,,,,,575767AJ7,US575767AJ78,9763763,bucket_two_five
USF&G Capital III 8.312%,20180630,Conduit Financing Vehicle,0.12,116.37,118.18,127.18,140.49,152.13,held_directly,4,,3,USF&G Capital III,,,,," $1,163,688.46 ",,1997-07-08,Exempt Issue,Bond - Corporate Bond,,,Financial Services,,,,,NA,,10.87,23.50,2046-07-01,11.12," 999,975 ",BBB,6.9443,,,,DE,US,USD,DEV,Direct Property and Casualty Insurance Carriers,Insurance Carriers and Related Activities,,,,,NA,NA,,,,,,90330SAA8,US90330SAA87,8593844,bucket_two_five
"Worthington Industries, Inc. 4.3%",20180630,Corporation,0.12,84.51,82.6,90.96,101.47,111.09,held_directly,6,,3,"Worthington Industries, Inc.",," $250,000,000 "," $250,000,000 ", $1 ," $1,149,309.09 ",,2017-07-28,SEC Registered,Bond - Corporate Bond,,,Basic Materials,,,,,NA,,7.36,9.59,2032-08-01,7.53," 1,360,007 ",BBB,6.544,,,,DE,US,USD,DEV,Rolled Steel Shape Manufacturing,Primary Metal Manufacturing,,,,,NA,NA,,,,,,981811AF9,US981811AF94,136987309,bucket_two_five
Suncor Energy Inc. 7%,20180630,Corporation,0.02,106.59,106.89,112.82,118.47,128.89,held_directly,4,2,3,Suncor Energy Inc.,," $3,848,732,364 "," $274,909,455 ", $14 ," $234,516.19 ",,1998-11-24,Not Applicable,Bond - Corporate Bond,,,Energy,,,,,NA,,4.76,5.88,2028-11-15,4.82," 220,023 ",BBB,5.7092,,,,AB,CA,USD,DEV,Petroleum Refineries,Petroleum and Coal Products Manufacturing,,,,,NA,NA,,,,,,71644EAF9,US71644EAF97,8652876,bucket_two_five
Cnpc Overseas Capital Ltd. 5.95%,20180630,Corporation,0.19,103.14,105.31,109.72,119.02,138.93,held_directly,21,3,5,Cnpc Overseas Capital Ltd.,,,,," $1,804,989.50 ",,2011-04-28,Exempt Issue,Bond - Corporate Bond,,,Energy,,,,,NA,,11.13,18.33,2041-04-28,11.18," 1,750,003 ",A,5.7152,,,,,HK,USD,EM,Support Activities for Oil and Gas Operations,Support Activities for Mining,,,,,NA,NA,,,,,,12622NAC6,US12622NAC65,9373572,bucket_two_five
Penn Mutual Life Insurance Co. 7.625%,20180630,Corporation,0.11,108.32,109.27,118.55,134.63,146.78,held_directly,14,,5,Penn Mutual Life Insurance Co.,," $500,000,000 "," $500,000,000 ", $1 ," $1,083,182.90 ",,2010-07-01,Exempt Issue,Bond - Corporate Bond,,,Financial Services,,,,,NA,,9.89,17.46,2040-06-15,9.87," 1,000,023 ",A,6.8524,,,,DE,US,USD,DEV,Direct Life Insurance Carriers,Insurance Carriers and Related Activities,,,,,NA,NA,,,,,,707567AC7,US707567AC76,9663989,bucket_two_five
Government National Mortgage Association 7.5%,20180630,National Government Agency,0.00,99.82,100.72,101.55,102.46,103.21,held_directly,6,2,5,Government National Mortgage Association,,,,, $94.60 ,,1997-12-01,,Bond - Gov't Agency Pass-Thru,,,,,,,,NA,,1.53,1.75,2027-12-15,1.53, 92 ,AAA,7.5481,0.00,2023-02-01,,DC,US,USD,DEV,Administration of Housing Programs,"Administration of Housing Programs, Urban Planning, and Community Developmen",,,,,NA,NA,,,,,,36208FKC3,US36208FKC31,40600404,bucket_two_five
"The Hartford Financial Services Group, Inc. 6.625%",20180630,Corporation,0.11,103.59,102.76,112.51,125.84,143.97,held_directly,16,1,6,"The Hartford Financial Services Group, Inc.",,,,," $1,035,882.34 ",,2012-04-05,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,10.86,19.29,2042-04-15,10.94," 1,000,018 ",BBB,6.3491,,,,DE,US,USD,DEV,Direct Property and Casualty Insurance Carriers,Insurance Carriers and Related Activities,,,,,NA,NA,,,,,,416518AC2,US416518AC25,9664420,bucket_six_ten
Government National Mortgage Association 7%,20180630,National Government Agency,0.00,102.4,103.07,105.48,106.94,109.89,held_directly,24,,6,Government National Mortgage Association,,,,, $283.80 ,,1998-08-01,,Bond - Gov't Agency Pass-Thru,,,,,,,,NA,,1.82,2.17,2028-08-15,1.90, 276 ,AAA,5.7254,0.00,2023-02-01,,DC,US,USD,DEV,Administration of Housing Programs,"Administration of Housing Programs, Urban Planning, and Community Developmen",,,,,NA,NA,,,,,,36210AMQ7,US36210AMQ75,18677654,bucket_six_ten
Textron Financial Corporation 6.34114%,20180630,Corporation,0.24,71.75,70.25,73.73,78.25,86,held_directly,25,,6,Textron Financial Corporation,,,,," $2,317,538.40 ",,2007-02-08,Exempt Issue,Bond - Corporate Bond,,,Financial Services,,,,,NA,,-4.57,44.13,2067-02-15,0.12," 3,230,019 ",BB,9.2401,,,,DE,US,USD,DEV,All Other Nondepository Credit Intermediation,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,883199AR2,US883199AR25,9271992,bucket_six_ten
Grupo Bimbo S.A.B de C.V. 4.875%,20180630,Corporation,0.15,86.88,83.49,92.05,103.42,118.88,held_directly,25,2,7,Grupo Bimbo S.A.B de C.V.,,,,," $1,410,881.20 ",,2014-06-27,Exempt Issue,Bond - Corporate Bond,,,Consumer Defensive,,,,,NA,,12.72,21.49,2044-06-27,12.52," 1,623,990 ",BBB,6.0083,,,,,MX,USD,EM,Commercial Bakeries,Food Manufacturing,,,,,NA,NA,,,,,,40052VAD6,US40052VAD64,48181840,bucket_six_ten
Pacific Lifecorp 6.6%,20180630,Corporation,0.45,107.51,106.73,114.57,125.93,139.35,held_directly,22,6,7,Pacific Lifecorp,," $750,000,000 "," $750,000,000 ", $1 ," $4,300,472.62 ",,2003-09-08,Exempt Issue,Bond - Corporate Bond,,,Financial Services,,,,,NA,,7.57,10.71,2033-09-15,7.74," 4,000,031 ",A,5.7009,,,,DE,US,USD,DEV,Health and Welfare Funds,"Funds, Trusts, and Other Financial Vehicle",,,,,NA,NA,,,,,,694476AA0,US694476AA03,9529232,bucket_six_ten
Cenovus Energy Inc 4.4%,20190331,Corporation,0.20,92.58,91.77,96.44,103.91,111,held_directly,14,2,7,Cenovus Energy Inc,," $8,418,548,389 "," $765,322,581 ", $11 ," $1,851,627.85 ",,2019-03-15,SEC Registered,Bond - Corporate Bond,,,Energy,,,,,NA,,5.26,6.29,2029-04-15,5.37," 2,000,046 ",BBB,5.873,,,,AB,CA,USD,DEV,Support Activities for Oil and Gas Operations,Support Activities for Mining,,,,,NA,NA,,,,,,448055AP8,US448055AP89,230729934,bucket_six_ten
Federal National Mortgage Association 7.5%,20180630,National Government Agency,0.00,102.64,103.44,106.35,108.1,112.11,held_directly,28,7,7,Federal National Mortgage Association,,,,, $567.61 ,,1998-05-01,,Bond - Gov't Agency Pass-Thru,,,Financial Services,,,,,NA,,1.48,1.83,2028-04-01,1.65, 547 ,AAA,5.7466,0.00,2023-02-01,,DC,US,USD,DEV,All Other Nondepository Credit Intermediation,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,31374S5U1,US31374S5U12,19687764,bucket_six_ten
CVS Health Corp 5.298%,20180630,Corporation,0.06,98.95,98.87,101.17,103.94,107.57,held_directly,16,,8,CVS Health Corp,," $1,279,500,000 "," $1,279,500,000 ", $1 ," $528,536.49 ",,2004-12-22,Exempt Issue,Bond - Corporate Bond,,,Consumer Defensive,,,,,NA,,1.81,2.01,2027-01-11,1.81," 534,158 ",BBB,5.9171,,,,DE,US,USD,DEV,Pharmacies and Drug Stores,Health and Personal Care Store,,,,,NA,NA,,,,,,126650AW0,US126650AW08,18369258,bucket_six_ten
Leidos Holdings Inc 5.95%,20180630,Corporation,0.10,93.98,89.13,100.92,106.26,122.07,held_directly,20,,9,Leidos Holdings Inc,," $300,000,000 "," $300,000,000 ", $1 ," $916,306.51 ",,2011-11-04,SEC Registered,Bond - Corporate Bond,,,,,,,,NA,,10.70,17.92,2040-12-01,10.66," 974,958 ",BBB,6.5736,,,,DE,US,USD,DEV,National Security,National Security and International Affair,,,,,NA,NA,,,,,,78390XAC5,US78390XAC56,7922425,bucket_six_ten
Keurig Dr Pepper Inc 4.985%,20190630,Investment Company/Fund,0.10,93.85,91.29,98.24,109.78,123.63,held_directly,23,1,9,Keurig Dr Pepper Inc," $500,000,000 "," $28,439,198,000 "," $812,548,514 ", $35 ," $966,728.91 ",0.21,2019-05-31,SEC Registered,Bond - Corporate Bond,Note,Senior,Consumer Defensive,,,,,NA,4.985,10.41,15.40,2038-05-25,10.46," 1,030,039 ",BBB,5.6336,,,,DE,US,USD,DEV,Soft Drink Manufacturing,Beverage and Tobacco Product Manufacturing,,,,,No,NA,,,,,,49271VAC4,US49271VAC46,177011586,bucket_six_ten
XTO Energy Inc. 6.75%,20180630,Corporation,0.09,112.12,108.66,119.58,130.56,142.36,held_directly,23,2,9,XTO Energy Inc.,,,,," $868,911.35 ",,2007-07-19,Not Applicable,Bond - Corporate Bond,,,Energy,,,,,NA,,9.31,14.59,2037-08-01,9.53," 774,996 ",AA,5.5771,,,,DE,US,USD,DEV,Crude Petroleum Extraction,Oil and Gas Extraction,,,,,NA,NA,,,,,,98385XAM8,US98385XAM83,8797110,bucket_six_ten
Seventy Seven Energy Inc. Escrow 7%,20210331,Corporation,0.00,2.25,2.75,1.94,2,2,High Yield Bond Portfolio,16,,9,Seventy Seven Energy Inc. Escrow,,,,," $6,945.03 ",,2018-09-27,SEC Registered,Bond - Corporate Bond,,,Energy,,,,,NA,,,,2024-10-01,," 308,670 ",,,,,,OK,US,USD,DEV,Drilling Oil and Gas Wells,Support Activities for Mining,,,,,NA,NA,,,,,,165ESCAF1,US165ESCAF16,367843929,bucket_six_ten
"Worthington Industries, Inc. 4.55%",20180630,Corporation,0.32,96.88,97.22,96.92,102.14,109.89,held_directly,15,2,10,"Worthington Industries, Inc."," $250,000,000 "," $250,000,000 "," $250,000,000 ", $1 ," $3,026,479.25 ",1.25,2014-04-15,SEC Registered,Bond - Corporate Bond,Note,Senior,Basic Materials,,,,,NA,4.55,2.97,3.29,2026-04-15,3.01," 3,123,974 ",BBB,5.6424,,,,DE,US,USD,DEV,Rolled Steel Shape Manufacturing,Primary Metal Manufacturing,,,,,No,NA,,,,,,981811AE2,US981811AE20,42280402,bucket_six_ten
Federal Home Loan Mortgage Corporation 6%,20180630,National Government Agency,0.00,103.61,103.8,107.25,108.85,112.18,held_directly,48,13,10,Federal Home Loan Mortgage Corporation,,,,, $378.40 ,,1999-04-01,,Bond - Gov't Agency Pass-Thru,,,Financial Services,,,,,NA,,1.96,2.33,2029-04-01,2.13, 371 ,AAA,4.3111,0.00,2023-02-01,,DC,US,USD,DEV,All Other Nondepository Credit Intermediation,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,31292GZM1,US31292GZM13,19899499,bucket_six_ten
ENEL Finance International N.V. 4.875%,20180930,Corporation,0.07,92.33,90.44,99.59,108.18,117.34,held_directly,29,8,11,ENEL Finance International N.V.,," $12,689,137,042 "," $906,366,932 ", $14 ," $692,480.25 ",,2018-09-14,Exempt Issue,Bond - Corporate Bond,,,Industrials,,,,,NA,,5.37,6.45,2029-06-14,5.40," 750,034 ",BBB,6.3866,,,,,NL,USD,DEV,Offices of Other Holding Companies,Management of Companies and Enterprises,,,,,NA,NA,,,,,,29278GAK4,US29278GAK40,198361501,bucket_11_20
FMR Corp. 7.57%,20180630,Corporation,0.49,108.28,110.12,116.51,125.32,137.92,held_directly,28,9,11,FMR Corp.,,,,," $4,607,358.67 ",,1999-06-22,Exempt Issue,Bond - Corporate Bond,,,Financial Services,,,,,NA,,5.09,6.46,2029-06-15,5.13," 4,254,984 ",A,6.0451,,,,MA,US,USD,DEV,Investment Advice,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,,NA,NA,,,,,,302508AQ9,US302508AQ98,9727203,bucket_11_20
Equifax Inc. 3.25%,20180630,Corporation,0.24,92.9,92.31,94.84,98.85,105.46,held_directly,12,5,12,Equifax Inc.,,,,," $2,248,290.38 ",,2016-05-12,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,3.12,3.42,2026-06-01,3.17," 2,420,023 ",BBB,5.6013,,,,GA,US,USD,DEV,All Other Business Support Services,Administrative and Support Services,,,,,NA,NA,,,,,,294429AL9,US294429AL98,95212225,bucket_11_20
Associated Banc-Corp 4.25%,20180630,Corporation,0.21,97.33,97.33,99.8,102.05,106.04,held_directly,34,3,12,Associated Banc-Corp,,,,," $1,946,701.99 ",,2014-11-13,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,1.83,2.04,2025-01-15,1.92," 2,000,017 ",BBB,5.6966,,,,WI,US,USD,DEV,Commercial Banking,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,045487AB1,US045487AB12,55825961,bucket_11_20
Elevance Health Inc. 5.85%,20180630,Corporation,0.08,102.47,100.45,108.72,120.98,134.28,held_directly,97,38,13,Elevance Health Inc.,," $500,000,000 "," $500,000,000 ", $1 ," $758,228.03 ",,2006-01-10,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,8.85,13.04,2036-01-15,9.09," 739,959 ",BBB,5.628,,,,IN,US,USD,DEV,Direct Health and Medical Insurance Carriers,Insurance Carriers and Related Activities,,,,,NA,NA,,,,,,94973VAL1,US94973VAL18,8394938,bucket_11_20
Comerica Incorporated 3.8%,20180630,Corporation,0.10,95.61,95.35,98.35,101.82,108.13,held_directly,25,7,13,Comerica Incorporated,,,,," $956,038.99 ",,2014-07-22,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,3.21,3.56,2026-07-22,3.27," 999,952 ",BBB,5.214,,,,DE,US,USD,DEV,Commercial Banking,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,200340AQ0,US200340AQ05,50113806,bucket_11_20
AT&T Inc 5.15%,20180630,Corporation,0.10,91.02,87.59,96.47,112.75,125.25,held_directly,86,41,15,AT&T Inc,," $40,953,685,302 "," $694,130,259 ", $59 ," $910,157.44 ",,2016-03-21,SEC Registered,Bond - Corporate Bond,,,Communication Services,,,,,NA,,11.59,19.21,2042-03-15,11.69," 999,998 ",BBB,5.9813,,,,DE,US,USD,DEV,Wireless Telecommunications Carriers (except Satellite),Telecommunications,,,,,NA,NA,,,,,,00206RDH2,US00206RDH21,88961331,bucket_11_20
National Fuel Gas Company 3.75%,20180630,Corporation,0.19,99.74,99.48,100.08,100.68,102.33,held_directly,20,11,15,National Fuel Gas Company,,,,," $1,815,206.42 ",,2013-02-15,SEC Registered,Bond - Corporate Bond,,,Utilities,,,,,NA,,0.16,0.17,2023-03-01,0.17," 1,820,029 ",BBB,5.2865,,,,NJ,US,USD,DEV,Natural Gas Distribution,Utilities,,,,,NA,NA,,,,,,636180BL4,US636180BL49,11598897,bucket_11_20
Grupo Televisa S.A.B. 6.625%,20180630,Corporation,0.31,101.67,101.98,105.13,108.47,113.75,held_directly,19,6,16,Grupo Televisa S.A.B.,," $4,275,686,939 "," $475,076,327 ", $9 ," $2,966,880.54 ",,2005-08-31,SEC Registered,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,2.00,2.21,2025-03-18,2.04," 2,918,013 ",BBB,5.847,,,,,MX,USD,EM,Television Broadcasting,Broadcasting (except Internet),,,,,NA,NA,,,,,,40049JAV9,US40049JAV98,8449032,bucket_11_20
QUALCOMM Inc. 2.6%,20180630,Corporation,0.15,99.84,99.56,99.84,100.79,101.9,held_directly,21,13,17,QUALCOMM Inc.,,,,," $1,457,708.76 ",,2017-05-26,SEC Registered,Bond - Corporate Bond,,,Technology,,,,,NA,,0.08,0.08,2023-01-30,0.08," 1,460,018 ",A,4.4904,,,,DE,US,USD,DEV,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Computer and Electronic Product Manufacturing,,,,,NA,NA,,,,,,747525AR4,US747525AR43,130841820,bucket_11_20
AT&T Inc 6.375%,20180630,Corporation,0.34,104.59,101.81,112.38,129.86,141.23,held_directly,120,33,18,AT&T Inc,," $40,953,685,302 "," $694,130,259 ", $59 ," $3,221,262.97 ",,2016-03-21,SEC Registered,Bond - Corporate Bond,,,Communication Services,,,,,NA,,10.68,18.17,2041-03-01,10.84," 3,080,027 ",BBB,6.0066,,,,DE,US,USD,DEV,Wireless Telecommunications Carriers (except Satellite),Telecommunications,,,,,NA,NA,,,,,,00206RDG4,US00206RDG48,88961356,bucket_11_20
"Ryder System, Inc. 3.875%",20181231,Corporation,0.27,98.79,98.76,100.05,101.51,105.12,held_directly,22,7,18,"Ryder System, Inc.",," $450,000,000 "," $450,000,000 ", $1 ," $2,509,294.89 ",,2018-11-06,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,0.87,0.92,2023-12-01,0.89," 2,540,005 ",BBB,5.2765,,,,FL,US,USD,DEV,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",Rental and Leasing Services,,,,,NA,NA,,,,,,78355HKK4,US78355HKK40,35956609,bucket_11_20
Molex Eletronics Technologies 3.9%,20180630,Corporation,0.26,95.21,94.84,98.67,101.76,104.98,held_directly,50,13,19,Molex Eletronics Technologies,,,,," $2,475,427.68 ",,2015-04-07,Exempt Issue,Bond - Corporate Bond,,,Technology,,,,,NA,,2.09,2.29,2025-04-15,2.15," 2,600,001 ",BBB,6.2138,,,,IL,US,USD,DEV,Current-Carrying Wiring Device Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing",,,,,NA,NA,,,,,,60856BAC8,US60856BAC81,65465297,bucket_11_20
Equifax Inc. 3.95%,20180630,Corporation,0.15,99.45,99.51,99.93,101.06,103.99,held_directly,35,4,20,Equifax Inc.,,,,," $1,432,071.86 ",,2018-05-25,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,0.45,0.46,2023-06-15,0.45," 1,440,014 ",BBB,5.2145,,,,GA,US,USD,DEV,All Other Business Support Services,Administrative and Support Services,,,,,NA,NA,,,,,,294429AN5,US294429AN54,178412911,bucket_11_20
Kansas City Southern 3%,20180630,Corporation,0.14,99.13,98.89,99.72,100.32,102.34,held_directly,40,5,20,Kansas City Southern,," $3,297,040,000 "," $412,130,000 ", $8 ," $1,313,536.64 ",,2016-07-25,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,0.37,0.37,2023-05-15,0.37," 1,325,016 ",BBB,5.3788,,,,DE,US,USD,DEV,Line-Haul Railroads,Rail Transportation,,,,,NA,NA,,,,,,485170AV6,US485170AV67,101719856,bucket_11_20
AT&T Inc 3.5%,20220630,Corporation,0.09,65.96,63.16,73.12,85.35,98.88,held_directly,111,36,21,AT&T Inc,," $40,953,685,302 "," $694,130,259 ", $59 ," $880,547.29 ",,2020-08-04,SEC Registered,Bond - Corporate Bond,,,Communication Services,,,,,NA,,16.80,38.09,2061-02-01,16.90," 1,335,032 ",BBB,5.7401,,,,DE,US,USD,DEV,Wireless Telecommunications Carriers (except Satellite),Telecommunications,,,,,NA,NA,,,,,,00206RKF8,US00206RKF81,326026521,bucket_21_50
